 , , , , , , , , , 
 , ,Year 2000,,,,Year 2020,,,
Country,Type of region,GDP per capita (current US$),"Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Mortality rate, under-5 (per 1,000 live births)",GDP per capita (current US$),"Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Mortality rate, under-5 (per 1,000 live births)"
Moldova,Country,441 ,95.49,97.98,31.50,"4,547 ",,,14.50
Mongolia,Country,474 ,97.53,98.02,63.50,"4,061 ",99.24,99.12,15.40
Montenegro,Country,"1,627 ",,,14.20,"7,677 ",,,2.40
Morocco,Country,"1,335 ",,,52.30,"3,059 ",,,18.70
Mozambique,Country,319 ,,,170.40,449 ,,,70.60
Myanmar,Country,147 ,86.42,93.92,89.60,"1,468 ",,,43.70
Namibia,Country,"2,186 ",,,75.80,"4,179 ",,,40.20
Nauru,Country,,,,42.60,"10,580 ",,,28.50
Nepal,Country,229 ,,,79.10,"1,155 ",,,28.20
Netherlands,Country,"26,214 ",,,6.20,"52,396 ",,,4.20
New Caledonia,Country,"16,039 ",,,,,,,
New Zealand,Country,"13,641 ",,,7.40,"41,441 ",,,4.70
Nicaragua,Country,"1,007 ",,,38.50,"1,905 ",,,16.00
Niger,Country,198 ,,,224.90,568 ,,,77.50
Nigeria,Country,568 ,,,182.90,"2,097 ",,,113.80
North Macedonia,Country,"1,862 ",,,16.00,"5,917 ",97.61,99.12,5.90
Northern Mariana Islands,Country,,,,,,,,
Norway,Country,"38,131 ",,,4.90,"67,330 ",,,2.20
Oman,Country,"8,601 ",,,16.50,"14,485 ",,,11.00
Pakistan,Country,576 ,,,107.80,"1,189 ",,,65.20
Palau,Country,"7,658 ",,,28.50,"14,244 ",,,16.90
Panama,Country,"4,060 ",91.25,92.55,26.00,"12,510 ",,,14.30
Papua New Guinea,Country,602 ,50.92,63.45,71.10,"2,757 ",,,43.90
Paraguay,Country,"1,664 ",,,33.90,"5,001 ",94.18,94.92,18.90
Peru,Country,"1,956 ",,,38.20,"6,127 ",92.02,96.99,12.80
Philippines,Country,"1,073 ",92.65,92.54,37.70,"3,299 ",,,26.40
Poland,Country,"4,501 ",,,9.30,"15,742 ",,,4.40
Portugal,Country,"11,526 ",,,7.20,"22,195 ",,,3.30
Puerto Rico,Country,"16,192 ",,,,"31,430 ",,,
Qatar,Country,"29,976 ",,,12.50,"50,124 ",,,5.80
Romania,Country,"1,660 ",,,21.60,"12,915 ",,,6.90
Russian Federation,Country,"1,772 ",,,19.30,"10,127 ",,,5.40
Rwanda,Country,261 ,59.75,71.42,185.20,798 ,,,40.50
Samoa,Country,"1,542 ",,,21.20,"4,068 ",,,17.00
San Marino,Country,"36,604 ",,,5.60,,,,1.80
Sao Tome and Principe,Country,,,,82.00,"2,158 ",,,16.10
Saudi Arabia,Country,"9,171 ",69.29,87.06,22.00,"20,110 ",96.05,98.62,7.00
Senegal,Country,614 ,,,129.50,"1,472 ",,,38.10
Serbia,Country,915 ,,,12.60,"7,731 ",,,5.60
Seychelles,Country,"7,579 ",,,13.80,"10,764 ",,,13.90
Sierra Leone,Country,139 ,,,224.90,509 ,,,107.80
Singapore,Country,"23,852 ",88.65,96.57,3.90,"59,798 ",,,2.20
Sint Maarten (Dutch part),Country,,,,,,,,
Slovak Republic,Country,"5,427 ",,,9.80,"19,267 ",,,5.80
Slovenia,Country,"10,201 ",,,5.50,"25,490 ",,,2.20
Solomon Islands,Country,"1,018 ",,,30.70,"2,251 ",,,19.40
Somalia,Country,,,,172.70,438 ,,,114.60
South Africa,Country,"3,375 ",,,71.50,"5,656 ",,,32.20
South Sudan,Country,,,,181.20,,,,97.90
Spain,Country,"14,750 ",,,5.40,"27,056 ",98.19,99.03,3.20
Sri Lanka,Country,870 ,,,16.50,"3,681 ",,,6.90
St. Kitts and Nevis,Country,"9,566 ",,,23.80,"18,438 ",,,15.00
St. Lucia,Country,"5,950 ",,,18.40,"8,805 ",,,24.40
St. Martin (French part),Country,,,,,,,,
St. Vincent and the Grenadines,Country,"3,676 ",,,22.20,"7,278 ",,,14.10
Sudan,Country,366 ,52.15,71.58,104.30,486 ,,,56.60
Suriname,Country,"2,012 ",,,31.20,"4,917 ",,,17.60
Sweden,Country,"29,625 ",,,4.10,"52,274 ",,,2.60
Switzerland,Country,"38,952 ",,,5.60,"87,100 ",,,4.00
Syrian Arab Republic,Country,"4,911 ",,,23.00,,,,22.40
Tajikistan,Country,138 ,99.22,99.68,83.60,859 ,,,32.30
Tanzania,Country,411 ,,,129.70,"1,076 ",,,48.90
Thailand,Country,"2,008 ",90.52,94.90,22.00,"7,187 ",,,8.70
Timor-Leste,Country,415 ,,,107.70,"1,443 ",,,42.30
Togo,Country,303 ,38.45,68.73,119.90,915 ,,,64.40
Tonga,Country,"2,091 ",,,16.90,"4,625 ",,,11.40
Trinidad and Tobago,Country,"6,435 ",97.10,98.75,27.90,"15,426 ",,,16.60
Tunisia,Country,"2,212 ",,,29.90,"3,522 ",,,16.60
Turkey,Country,"4,337 ",,,37.90,"8,536 ",,,9.50
Turkmenistan,Country,643 ,,,69.70,,,,41.80
Turks and Caicos Islands,Country,,,,,"23,880 ",,,
Tuvalu,Country,"1,463 ",,,42.10,"4,143 ",,,22.00
Uganda,Country,262 ,,,146.10,822 ,,,43.30
Ukraine,Country,658 ,,,18.30,"3,725 ",,,8.10
United Arab Emirates,Country,"33,291 ",,,11.10,"36,285 ",,,6.60
United Kingdom,Country,"28,223 ",,,6.50,"41,059 ",,,4.20
United States,Country,"36,335 ",,,8.40,"63,207 ",,,6.30
Uruguay,Country,"6,875 ",,,17.00,"15,438 ",,,6.20
Uzbekistan,Country,558 ,98.14,99.16,60.70,"1,751 ",,,13.90
Vanuatu,Country,"1,471 ",,,28.50,"2,870 ",,,24.90
"Venezuela, RB",Country,"4,842 ",,,21.60,,,,24.20
Vietnam,Country,390 ,86.61,93.93,29.80,"2,786 ",,,20.90
Virgin Islands (U.S.),Country,,,,,,,,
West Bank and Gaza,Country,"1,476 ",,,30.40,"3,240 ",96.20,98.79,16.50
"Yemen, Rep.",Country,554 ,,,95.00,,,,59.60
Zambia,Country,346 ,,,155.90,985 ,,,61.40
Zimbabwe,Country,563 ,,,95.50,"1,215 ",,,53.90
High income,Income,"25,777 ",,,7.80,"43,935 ",,,4.90
Low income,Income,487 ,41.52,60.31,145.20,691 ,54.08,68.86,66.00
Lower middle income,Income,617 ,53.94,74.08,93.20,"2,217 ",69.96,82.85,44.90
Upper middle income,Income,"1,975 ",87.21,93.98,35.10,"9,178 ",94.52,97.08,11.20
East Asia & Pacific,Region,"4,089 ",86.33,94.25,39.40,"11,477 ",94.39,97.43,13.80
Europe & Central Asia,Region,"11,683 ",95.18,97.78,21.20,"23,963 ",98.01,,7.60
Latin America & Caribbean,Region,"4,400 ",88.20,89.91,33.20,"7,244 ",94.07,94.86,16.20
Middle East & North Africa,Region,"3,319 ",59.06,78.76,42.90,"6,535 ",73.20,85.58,21.30
North America,Region,"35,156 ",,,8.30,"61,161 ",,,6.20
South Asia,Region,453 ,44.93,69.68,93.30,"1,824 ",65.55,81.31,38.50
Sub-Saharan Africa,Region,636 ,46.82,65.70,150.90,"1,501 ",59.42,72.47,73.30
